Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
124,Aragonite,0.8915,1.0654,2,205.35,23.88,1.438,1.8217,123.28,0.59,2.01,12.16,49.46,53.21,True,no,-0.114849841678942,0.363253259298855,0.619958275382476,-0.478103100977797
125,Aragonite,2.9367,1.9337,1,358.39,26.91,2.3249,1.4456,122.69,1.4,2.47,89.31,31.88,73.2,True,no,1.07728650195336,0.843677027361643,1.26315110327326,0.233609474591715
126,Aragonite,2.0452,1.6137,2,365.08,25.72,2.0531,1.6187,132.69,0.69,1.69,166.22,113.61,173.23,True,no,0.715495584223707,0.719350846056582,0.996152160148069,-0.00385526183287463
127,Aragonite,0.52441,0.81713,2,79.7,24.2,1.0455,1.637,18.222,0.28,1.17,56.21,39.16,20.01,True,no,-0.645481457861749,0.0444952398865513,0.501587757054041,-0.6899766977483
128,Aragonite,0.8915,1.0654,4,123.53,27.29,2.1788,4.182,92.505,0.87,1.37,171.75,105.37,66.72,True,no,-0.114849841678942,0.778774266527382,0.409170185423169,-0.893624108206324
129,Aragonite,2.2025,1.6746,5,126.6,28.14,2.803,2.8017,88.02,0.72,1.17,55.58,64.79,81.83,True,no,0.789593078828198,1.03069027218265,0.785765251516233,-0.241097193354454
130,Aragonite,2.9367,1.9337,4,202.71,29.66,3.4278,3.1425,90.649,0.93,1.79,62.6,105.93,62.84,True,no,1.07728650195336,1.23191865597633,0.85673026430947,-0.154632154022978
131,Aragonite,2.8318,1.8988,1,301.3,27.19,2.21,1.3546,66.224,0.48,1.05,10.8,121.03,163.03,True,no,1.04091255186873,0.792992515529661,1.28135746606335,0.247920036339072
132,Aragonite,6.188,2.8069,3,344.16,29.81,3.1142,1.2309,103.24,0.77,1.58,22.1,48.81,139.61,True,no,1.82261193271082,1.13597229742519,1.9870271658853,0.686639635285632
133,Aragonite,4.5624,2.4102,4,384.63,31.56,3.4439,2.0417,81.682,0.79,2.89,112.57,162.52,161.76,True,no,1.51784880086019,1.23660455013929,1.32477714219344,0.281244250720906
134,Aragonite,0.78662,1.0008,3,22.2,26.73,1.3171,1.7321,102.53,0.43,0.78,64.41,98.74,11.33,True,no,-0.240009993424111,0.275432350022864,0.597236352592818,-0.515442343446974
