Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
232	Aragonite	4.4206	2.3724	4	53.78	109.63	3.8872	2.6847	148.68	1.47	2.84	170.04	78.24	14.02	True	no
233	Aragonite	1.8259	1.5247	3	84.05	109.21	2.2643	2.2054	107.36	0.42	1.23	165.70	62.69	19.31	True	no
234	Aragonite	1.5376	1.3992	3	124.63	107.75	1.5078	1.1612	75.128	0.59	1.39	161.13	135.76	106.61	True	no
235	Aragonite	8.4568	3.2814	6	49.65	113.05	5.2942	2.6031	132.59	1.20	3.12	175.74	138.09	52.13	True	no
236	Aragonite	1.2493	1.2612	2	116.38	108.38	1.3664	1.1737	135	0.32	0.83	74.87	122.71	126.42	True	no
237	Aragonite	1.5376	1.3992	3	142.75	110.06	1.819	1.6902	116.07	0.87	1.98	112.09	127.50	67.92	True	no
238	Aragonite	0.961	1.1062	1	82.20	110.30	1.2697	1.3176	105.95	0.31	0.75	100.47	17.05	74.58	True	no
239	Aragonite	5.8621	2.732	6	106.66	111.44	3.816	1.9509	10.098	1.14	2.79	24.58	78.42	177.86	True	no
240	Aragonite	3.0752	1.9788	5	132.16	110.41	2.8477	2.0711	12.765	0.74	1.40	26.70	79.03	131.79	True	no
241	Aragonite	7.3036	3.0495	4	28.04	115.22	3.3992	1.2425	175.52	1.38	2.31	66.45	16.64	117.11	True	no
242	Aragonite	2.0181	1.603	6	149.62	112.67	2.2744	2.0131	108	0.62	0.97	13.12	56.32	62.15	True	no
243	Aragonite	2.1142	1.6407	3	152.77	112.05	2.8831	3.0879	125.23	1.28	2.29	79.64	35.40	87.17	True	no
244	Aragonite	16.625	4.6009	10	164.45	119.45	7.8364	2.9011	124.99	0.84	3.03	118.05	97.89	84.23	True	no
245	Aragonite	1.0571	1.1601	3	42.36	111.36	1.422	1.5025	120.29	0.90	1.79	178.72	135.33	51.64	True	no
246	Aragonite	6.727	2.9266	7	78.59	120.94	6.7847	5.3744	104.22	1.35	2.46	10.40	50.89	157.94	True	no
247	Aragonite	3.844	2.2123	6	92.25	114.68	2.7657	1.5629	143.48	0.92	1.67	34.01	15.62	170.08	True	no
248	Aragonite	1.0571	1.1601	2	99.18	110.64	1.798	2.4018	172.03	0.70	0.92	34.52	15.94	170.02	True	no
249	Aragonite	1.3454	1.3088	4	114.29	111.50	1.3228	1.0214	90	0.29	0.57	23.08	144.04	176.44	True	no
250	Aragonite	1.4415	1.3548	2	124.07	112.07	1.5477	1.3052	55.77	0.52	1.06	55.38	59.55	22.46	True	no
251	Aragonite	1.4415	1.3548	4	198.67	112.67	2.27	2.8076	85.657	1.01	1.91	94.10	139.40	159.93	True	no
252	Aragonite	1.4415	1.3548	4	191.13	113.00	1.8555	1.8758	129.96	0.67	1.34	44.63	93.32	59.70	True	no
253	Aragonite	1.7298	1.4841	2	201.94	113.00	1.8364	1.5312	142.48	0.78	2.30	147.98	105.64	29.04	True	no
254	Aragonite	4.0362	2.2669	4	215.07	116.62	4.7629	4.4143	136.56	1.05	2.18	17.79	17.00	119.54	True	no
255	Aragonite	2.7869	1.8837	5	85.97	115.55	2.4415	1.6799	73.854	0.88	2.19	96.67	17.54	80.75	True	no
256	Aragonite	1.4415	1.3548	3	130.47	114.00	1.462	1.1645	46.272	0.44	0.65	156.16	60.14	57.50	True	no
257	Aragonite	1.0571	1.1601	4	133.55	114.27	1.3746	1.4039	78.149	0.18	0.57	90.68	47.49	99.05	True	no
258	Aragonite	0.961	1.1062	4	146.90	113.60	1.2927	1.3657	137.75	0.73	1.51	111.71	127.51	65.05	True	no
259	Aragonite	0.961	1.1062	2	35.30	114.80	1.2801	1.3393	53.677	0.00	0.00	130.91	73.58	123.26	True	no
260	Aragonite	8.3607	3.2627	7	61.22	117.28	4.0001	1.5031	172.23	0.54	1.62	76.30	112.04	51.28	True	no
261	Aragonite	1.3454	1.3088	4	113.07	115.57	1.9156	2.1421	104.87	0.34	0.86	37.30	103.36	107.16	True	no
262	Aragonite	1.3454	1.3088	3	116.07	115.71	1.6143	1.5213	98.007	0.78	1.58	96.34	78.78	109.13	True	no
263	Aragonite	1.2493	1.2612	2	188.08	116.00	2.1828	2.9954	74.96	0.57	0.97	47.59	97.92	71.61	True	no
264	Aragonite	2.0181	1.603	2	8.57	115.43	2.2362	1.9462	175.78	0.77	1.37	11.61	124.11	177.91	True	no
265	Aragonite	1.0571	1.1601	4	41.55	115.27	1.3026	1.2607	138.29	0.33	0.86	134.13	73.97	127.38	True	no
266	Aragonite	2.1142	1.6407	3	47.55	116.91	2.18	1.7655	129.87	0.74	1.77	134.10	86.25	34.85	True	no
267	Aragonite	3.9401	2.2398	6	145.76	118.83	3.2812	2.146	94.525	0.55	1.56	39.26	13.66	9.54	True	no
268	Aragonite	1.5376	1.3992	3	210.81	116.31	1.7589	1.5802	142.06	0.82	2.36	143.78	107.05	16.23	True	no
269	Aragonite	2.3064	1.7137	4	38.04	117.58	1.9131	1.2463	10.812	0.58	1.54	23.13	130.00	92.35	True	no
270	Aragonite	1.2493	1.2612	1	81.62	116.69	1.7886	2.0111	123.94	1.12	1.65	168.48	62.61	17.23	True	no
271	Aragonite	1.0571	1.1601	3	105.45	116.64	1.6294	1.9727	131.2	0.21	1.17	95.71	73.22	105.20	True	no
272	Aragonite	2.1142	1.6407	2	123.00	116.95	1.8751	1.3061	29.233	0.57	0.98	55.77	85.92	148.07	True	no
273	Aragonite	2.0181	1.603	4	151.86	117.57	1.9743	1.517	89.527	0.69	1.33	27.23	86.71	161.06	True	no
274	Aragonite	1.1532	1.2117	3	172.58	116.08	1.2682	1.0954	168.69	0.49	1.37	35.88	97.91	65.69	True	no
275	Aragonite	2.6908	1.851	3	12.86	119.25	1.8695	1.0201	21.276	1.39	3.01	32.05	9.29	149.85	True	no
276	Aragonite	1.2493	1.2612	3	75.85	118.38	1.7699	1.9693	77.023	0.68	1.39	168.29	68.66	17.98	True	no
277	Aragonite	1.4415	1.3548	5	101.00	117.93	1.6327	1.4525	164.26	0.34	1.16	34.98	96.03	112.54	True	no
278	Aragonite	1.0571	1.1601	3	119.27	117.73	1.5028	1.6779	99.992	0.54	0.96	37.27	101.70	109.06	True	no
279	Aragonite	3.4596	2.0988	3	136.31	120.36	3.3864	2.6033	78.196	1.02	2.32	35.54	13.65	12.28	True	no
280	Aragonite	1.922	1.5643	2	169.60	118.30	2.0328	1.6887	110.96	0.87	2.34	2.89	81.85	86.99	True	no
281	Aragonite	1.1532	1.2117	3	192.75	118.67	1.7079	1.9866	90	0.77	1.23	166.83	102.43	101.26	True	no
