Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
100,Aragonite,2.43,1.759,5,103.7,29.81,2.9635,2.8385,87.746,0.89,1.48,77.13,112.97,115.12,True,no,0.887891257352457,1.08637100224576,0.819976379281255,-0.198479744893299
101,Aragonite,1.17,1.2205,3,109.62,26.38,1.3223,1.1737,45,0.64,1.23,27.94,136.14,64.51,True,no,0.157003748809665,0.27937264458064,0.884821901232701,-0.122368895770975
102,Aragonite,1.26,1.2666,4,130.71,26.64,1.421,1.2587,54.485,0.55,1.49,88.82,98.24,128.05,True,no,0.231111720963387,0.351360849114964,0.886699507389163,-0.120249128151577
103,Aragonite,1.26,1.2666,5,177.86,26.79,1.582,1.5601,149.62,0.69,1.01,1.87,119.33,62.72,True,no,0.231111720963387,0.458689869345462,0.79646017699115,-0.227578148382075
104,Aragonite,0.99,1.1227,2,361.18,26.91,1.7243,2.3588,107.08,0.54,1.24,164.47,174.71,162.03,True,no,-0.0100503358535015,0.544821171023949,0.574146030273154,-0.55487150687745
105,Aragonite,1.62,1.4362,5,58.11,28.67,2.2982,2.5607,29.735,0.7,1.37,122.94,166.57,100.26,True,no,0.482426149244293,0.832126207841396,0.704899486554695,-0.349700058597104
106,Aragonite,1.71,1.4755,4,106.74,28.53,1.8492,1.5706,115.64,0.53,1.18,131.98,79.14,121.76,True,no,0.536493370514568,0.614753113131933,0.924724205061648,-0.0782597426173648
107,Aragonite,8.28,3.2469,8,14,34.37,4.1465,1.6309,75.918,0.97,2.47,39.1,143.09,104.61,True,no,2.11384296839717,1.42226460490912,1.99686482575666,0.691578363488047
108,Aragonite,1.08,1.1726,3,26,28.83,1.7162,2.142,129.81,0.4,0.56,32.83,81.59,19.25,True,no,0.0769610411361284,0.540112544390884,0.629297284698753,-0.463151503254755
109,Aragonite,2.07,1.6235,4,60.61,30.22,2.5127,2.3955,31.848,0.42,0.93,16.8,66.66,13.42,True,no,0.727548607277278,0.921357872207174,0.823815019699924,-0.193809264929896
110,Aragonite,0.99,1.1227,3,66.27,29.64,1.6224,2.0882,81.21,0.57,1.49,161.99,83.31,150.27,True,no,-0.0100503358535015,0.483906534414727,0.610207100591716,-0.493956870268229
111,Aragonite,12.51,3.991,10,120.12,32.36,6.4251,2.5917,161.47,0.99,2.26,143.02,95.67,135.97,True,no,2.52652832447882,1.8602121948625,1.94705140776019,0.666316129616323
112,Aragonite,1.17,1.2205,3,157.31,29.69,1.7546,2.0666,88,0.49,1.35,23.16,115.61,114,True,no,0.157003748809665,0.562240910712146,0.666818648124929,-0.405237161902482
113,Aragonite,2.34,1.7261,5,184.38,29.35,2.3655,1.8781,152.87,0.28,0.95,100.47,113.24,126.35,True,no,0.85015092936961,0.860989416089066,0.989220038046924,-0.0108384867194557
114,Aragonite,0.9,1.0705,1,488.5,28,1.3679,1.633,153.43,0.59,1.47,118.04,140.77,49.52,True,no,-0.105360515657826,0.313276717113261,0.657942832078368,-0.418637232771088
115,Aragonite,2.07,1.6235,2,10.3,31.09,2.3269,2.0543,60.711,0.75,1.26,23.2,141.63,90.04,True,no,0.727548607277278,0.844536909610765,0.889595599295199,-0.116988302333487
116,Aragonite,3.6,2.1409,4,81.82,31.15,2.2828,1.1369,112.97,0.76,1.69,24.35,146.84,64.11,True,no,1.28093384546206,0.825402759680416,1.577010688628,0.455531085781648
117,Aragonite,1.35,1.3111,3,92.6,30.27,1.5506,1.3989,102.32,0.57,1.11,166.88,85.63,139.53,True,no,0.300104592450338,0.438641952802722,0.870630723590868,-0.138537360352383
118,Aragonite,4.77,2.4644,7,159.91,35.13,4.3744,3.1508,91.885,1.39,2.66,59.34,133.08,117.1,True,no,1.56234630490025,1.47576936754749,1.09043525969276,0.0865769373527564
119,Aragonite,4.5,2.3937,4,171.48,31.32,2.5983,1.1783,40.367,0.61,1.99,3.12,121.72,100.91,True,no,1.50407739677627,0.954857385022972,1.73190162798753,0.549220011753302
120,Aragonite,1.53,1.3957,3,200.47,30.35,1.492,1.1428,101.31,0.62,1.18,158.45,109.86,165.88,True,no,0.425267735404344,0.400117501781569,1.0254691689008,0.0251502336227751
121,Aragonite,2.25,1.6926,3,5.52,31.24,2.019,1.4229,25.01,1,1.57,31.87,89.76,33.82,True,no,0.810930216216329,0.7026023393307,1.11441307578009,0.108327876885628
122,Aragonite,1.26,1.2666,3,69.64,31.21,1.4368,1.2867,65.642,0.31,0.55,60.01,123.96,79.79,True,no,0.231111720963387,0.362418418565798,0.876948775055679,-0.131306697602412
123,Aragonite,12.69,4.0196,10,140.4,36.75,8.1247,4.0855,145.72,2.14,3.81,107.91,53.46,59.49,True,no,2.5408142817263,2.0949088044572,1.5619038241412,0.445905477269092
124,Aragonite,3.96,2.2454,4,165.14,33.43,3.2787,2.1321,124.21,0.73,1.46,83.44,127.42,108.99,True,no,1.37624402526639,1.1874470023686,1.2077957727148,0.188797022897789
125,Aragonite,7.74,3.1392,7,174.88,36.83,5.3004,2.8508,57.281,0.58,1.51,111.19,68.64,115.61,True,no,2.04640168760164,1.66778228940834,1.46026714964908,0.378619398193292
126,Aragonite,8.64,3.3167,7,209.8,34,4.8596,2.1467,22.065,0.97,3.08,91.13,35.84,107.49,True,no,2.15640258281596,1.58095612999845,1.77792410898016,0.575446452817514
127,Aragonite,1.35,1.3111,0,223.2,31.07,1.3228,1.018,71.565,0.55,1.12,77.07,157.23,135.26,True,no,0.300104592450338,0.279750702125501,1.02056244330209,0.0203538903248375
128,Aragonite,1.26,1.2666,1,487.93,30.57,1.568,1.5325,155.22,0.7,0.98,83.86,39.12,65,True,no,0.231111720963387,0.449800921928216,0.803571428571428,-0.21868920096483
129,Aragonite,6.21,2.8119,7,24.35,36.91,3.4677,1.5209,29.874,0.98,2.37,45.44,103.58,159.42,True,no,1.82616089594539,1.24349154998619,1.79081235400986,0.582669345959193
130,Aragonite,2.97,1.9446,2,30.91,33.94,2.7274,1.9671,74.804,0.47,0.87,32.17,138.67,156.8,True,no,1.08856195281461,1.0033487744416,1.08894918237149,0.0852131783730118
131,Aragonite,0.99,1.1227,2,53.45,31.82,1.2553,1.2502,88.939,0.52,0.67,61.62,121.01,52.64,True,no,-0.0100503358535015,0.227374587842026,0.78865609814387,-0.237424923695527
132,Aragonite,14.13,4.2416,9,60.01,40.04,6.5388,2.3765,55.841,2.3,5.22,154.87,96.12,80.61,True,no,2.64830019669644,1.87775366239492,2.16094696274546,0.77054653430152
133,Aragonite,1.44,1.3541,4,87.06,32,1.6241,1.4387,76.013,0.83,1,44.53,135.86,48.95,True,no,0.364643113587909,0.48495381619842,0.886644911027646,-0.120310702610511
134,Aragonite,0.9,1.0705,3,96.2,31.5,1.2526,1.3693,90,0.34,1.33,91.19,24.63,44.96,True,no,-0.105360515657826,0.225221391109175,0.718505508542232,-0.330581906767002
135,Aragonite,0.9,1.0705,2,191.1,32,1.7931,2.8059,70.763,0.76,1.59,70.54,103.06,91.71,True,no,-0.105360515657826,0.583945965516181,0.50192404216162,-0.689306481174007
136,Aragonite,4.05,2.2708,7,194.38,34.98,2.6214,1.3326,162.19,0.88,2.1,136.58,95.45,107.37,True,no,1.39871688111845,0.963708526203308,1.54497596704051,0.43500835491514
